,,AUTHOR PLOT NUMBER,184--13,186--13,75?--13,76--13,81--13,117--13,100--13,85--13,86--13,98--13,94--13,97--13,203--15,87--13,91--13,121--13,137A--13,137B--13,129--13,150--13,111--13,113--13,126--13,107--13,108--13,109--13,110--13,124--13,130--13,105--13,123--13,154--13,134--13,135--13,136--13,207--15,88--13,115--13,90--13,101--13,167--13,164--13,163--13,165--13,166--13
,,TURBOVEG PLOT NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASL TAXON SCIENTIFIC NAME NO AUTHOR(S),PASL TAXON SCIENTIFIC NAME WITH AUTHOR(S),DATASET TAXON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molinia caerulea [s. caerulea],Molinia caerulea [s. caerulea] (L.) Moench,Molinia caerulea,0,+,+,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myosotis asiatica,Myosotis alpestris s. asiatica Vestergr.,Myosotis asiatica,0,0,0,0,0,0,0,+,+,0,0,0,0,+,0,+,+,+,0,+,+,0,0,+,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0
Nardus stricta,Nardus stricta L.,Nardus stricta,+,0,+,+,+,0,1,+,0,0,+,0,1,1,+,0,0,0,0,0,0,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oberna behen,Silene vulgaris [s. vulgaris] (Moench) Garcke ,Oberna behen,0,0,0,0,0,+,0,0,0,+,0,0,0,0,0,+,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0
Orobus vernus,Orobus vernus,Orobus vernus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxytropis sordida,Oxytropis sordida (Willd.) Pers.,Oxytropis sordida,0,0,0,0,+,+,0,+,0,0,0,0,0,+,+,+,+,+,0,0,+,0,+,0,+,+,+,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peltigera species,Peltigera species ,Peltiger species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0
Peltigera canina,Peltigera canina (L.) Willd.,Peltigera canina,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peltigera rufescens,Peltigera rufescens (Weis) Humb.,Peltigera rufescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peltigera species,Peltigera species ,Peltigera species,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phalaroides arundinacea,Phalaroides arundinacea (L.) Rauschert,Phalaroides arundinacea,+,0,0,0,0,+,0,0,+,0,+,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phleum alpinum [s. alpinum],Phleum alpinum [s. alpinum] L.,Phleum alpinum,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0
Phleum pratense [s. pratense],Phleum pratense [s. pratense] L.,Phleum pratense,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,+,+,+,2,+,+,+,+,+,0,+,0,0,4,0,+,1,+,+,0,+,1,0,0,0,0,0,0,0
Picea obovata,Picea abies s. obovata (Ledeb.) Domin,Picea obovata,0,0,0,0,0,0,+,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilosella peleteriana,Pilosella peleteriana (M�rat) F.W. Schultz & Sch.Bip.,Pilosella laticeps,+,0,0,0,0,0,0,0,0,+,+,+,+,+,+,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinus sylvestris,Pinus sylvestris L.,Pinus sylvestris,0,+,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurozium schreberi,Pleurozium schreberi (Willdenow ex Brid.) Mitt.,Pleurozium schreberi,0,0,0,0,+,0,0,0,0,+,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poa palustris,Poa palustris L.,Poa palustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0
Poa pratensis,Poa pratensis L.,Poa pratensis,0,0,0,0,0,0,+,+,0,1,0,0,0,+,0,2,2,+,0,+,0,0,0,2,+,1,1,0,0,2,0,+,+,2,1,0,+,+,0,0,0,0,0,0,0
Poa trivialis [s. trivialis],Poa trivialis [s. trivialis] L.,Poa trivialis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pohlia filum,Pohlia filum (Schimp.) MДrtensson,Pohlia filum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polemonium caeruleum,Polemonium caeruleum L.,Polemonium caeruleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polytrichum commune,Polytrichum commune Hedw.,Polytrichum commune,0,0,0,0,0,0,0,1,0,0,0,0,+,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polytrichum juniperinum,Polytrichum juniperinum Hedw.,Polytrichum juniperinum,0,0,+,+,+,0,0,1,0,+,0,0,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla anserina,Potentilla anserina L.,Potentilla anserina,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla crantzii,Potentilla crantzii (Crantz) Beck ex Fritsch,Potentilla crantzii,+,+,0,0,+,0,0,+,+,0,0,0,0,+,+,+,+,+,0,0,0,0,0,0,0,+,0,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla egedei,Potentilla anserina s. groenlandica Tratt.,Potentilla egedii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
Potentilla erecta,Potentilla erecta (L.) Raeusch.,Potentilla erecta,0,0,+,+,0,0,+,0,0,1,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primula finmarchia,Primula nutans s. finmarchia (Jacq.) A. LФve & D. LФve,Primula finmarchica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0
Ranunculus acris [s. acris],Ranunculus acris [s. acris] L.,Ranunculus acris,+,0,0,0,+,0,0,+,2,+,0,0,0,+,+,+,+,+,0,+,+,5,0,+,2,+,1,+,+,+,0,+,+,+,+,0,+,0,1,+,+,0,0,0,0
Ranunculus polyanthemos,Ranunculus species,Ranunculus polyanthemos,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0,+,1,0,0,0,0,0,+,+,0,0,1,0,1,+,+,0,0,0,0,0,0,0,0,0,0
Rhinanthus minor,Rhinanthus minor L.,Rhinanthus minor,+,0,0,0,0,0,0,0,0,+,0,0,0,0,0,+,0,0,+,0,0,0,0,0,0,0,+,+,+,0,0,0,0,0,0,+,0,0,0,0,+,0,0,0,0
Rosa majalis,Rosa majalis Herrm.,Rosa majalis,0,+,0,0,0,+,+,0,0,+,0,0,0,0,0,+,+,+,0,+,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus saxatilis,Rubus saxatilis L.,Rubus saxatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0,0,+,0,0,0,0,0,0,+,+,0,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0
Rumex acetosa,Rumex acetosa L.,Rumex acetosa,+,+,+,+,+,0,0,0,0,0,+,+,+,0,0,1,+,+,+,2,+,2,0,1,1,+,1,+,+,1,0,+,+,+,+,0,0,0,0,0,+,0,0,+,+
Rumex acetosella,Rumex acetosella L.,Rumex acetosella,+,+,0,0,0,+,+,+,0,0,0,0,+,+,0,+,0,0,0,0,0,+,0,1,+,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumex aquaticus,Rumex aquaticus L.,Rumex aquaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0
Rumex crispus,Rumex crispus L.,Rumex crispus,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0
Rumex lapponicus,Rumex lapponicus (Hiitonen) Czernov,Rumex lapponicus,0,0,0,0,0,0,+,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0
Salix phylicifolia,Salix phylicifolia L.,Salix phylicifolia,0,+,0,0,0,+,+,0,0,0,+,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sanguisorba polygama,Sanguisorba officinalis L.,Sanguisorba polygama,+,1,+,+,+,+,+,0,0,0,+,+,+,0,0,+,1,1,0,+,+,2,+,+,+,1,+,+,+,+,0,+,+,0,+,0,0,0,0,0,0,0,+,0,+
Sanionia uncinata,Sanionia uncinata (Hedw.) Loeske,Sanionia uncinata,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+
Senecio nemorensis [s. nemorensis],Senecio nemorensis [s. nemorensis] L.,Senecio nemorensis,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0,0,0,0,0,0,0,0,0,+,+,0,1,0,+,0,+,+,0,0,0,0,0,0,0,0,0
Senecio vulgaris,Senecio vulgaris L.,Senecio vulgaris,0,0,0,0,0,0,0,+,+,+,0,0,0,0,0,0,0,0,0,0,+,0,0,0,1,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solidago lapponica,Solidago virgaurea s. lapponica (With.) Tzvelev,Solidago lapponiica,+,1,+,+,+,+,+,+,0,1,+,+,+,0,1,2,+,1,0,2,+,0,+,+,+,+,+,2,+,+,1,+,1,+,+,0,+,0,0,0,0,0,0,0,+
Sonchus arvensis,Sonchus arvensis L.,Sonchus arvensis,0,0,0,0,0,+,+,0,0,0,+,+,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,+,+,0
Sorbus gorodkovii,Sorbus aucuparia s. glabrata (Wimm. & Grab.) Hayek,Sorbus gorodkovii,+,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stellaria graminea,Stellaria graminea L.,Stellaria graminea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,+,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0
Stellaria palustris,Stellaria palustris Ehrh. ex Hoffm.,Stellaria palustris,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,+,+,+,+,0,0,0,0,0,+,+,0,0,0,0,+,0,0,0,0,+,0,0,0,+,0,0,0,0
Stereocaulon species,Stereocaulon species ,Stereocaulon species,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steris viscaria,Steris viscaria,Steris viscaria,0,+,+,2,0,0,0,0,+,0,+,+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Straminergon stramineum,Calliergon stramineum (Dicks. ex Brid.) Kindb.,Straminergon stramineum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0
Tanacetum vulgare,Tanacetum vulgare L.,Tanacetum vulgare,0,+,+,+,0,+,+,0,0,0,0,+,0,0,0,+,+,+,0,0,0,0,+,0,0,0,0,+,0,0,+,+,0,+,0,0,0,0,0,0,0,0,0,0,0
Taraxacum officinale,Taraxacum croceum aggregate,Taraxacum officinale,0,0,0,0,+,0,+,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,+,+,+,0,+,0,0,0,0,0,+,0,+,+,0,0,0,0,0,0,0
Thalictrum flavum,Thalictrum flavum L.,Thalictrum flavum,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,+,+,+,0,0,0,0,0,+,0,0,+,+,0,0,0,+,2,+,0,0,0,0,0,0,0,0,0,0
Thalictrum rariflorum,Thalictrum simplex s. boreale (F. Nyl.) A. LФve & D. LФve,Thalictrum rariflorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0
Thymus serpyllum s. tana�nsis,Thymus serpyllum s. tana�nsis (Hyl.) Jalas,Thymus subarcticus,+,+,+,+,+,+,+,1,+,+,+,1,1,+,+,1,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trientalis europaea,Trientalis europaea L.,Trientalis europaea,0,0,0,0,0,0,0,0,+,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,1
Trifolium pratense,Trifolium pratense L.,Trifolium pratense,+,+,+,+,+,+,+,0,+,+,+,+,+,+,+,+,+,+,0,+,0,+,+,0,+,0,+,+,+,+,0,+,0,0,0,+,+,0,0,0,+,+,0,+,+
Triglochin maritima,Triglochin maritima L.,Triglochin maritimum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0
Trollius europaeus,Trollius europaeus L.,Trollius europaeus,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,+,+,+,1,+,0,+,+,+,1,1,0,2,0,0,+,1,+,1,0,0,0,+,0,0,0,0,0,0
Vaccinium myrtillus,Vaccinium myrtillus L.,Vaccinium myrtillus,+,0,0,0,+,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium uliginosum,Vaccinium uliginosum L.,Vaccinium uliginosum,0,0,+,+,+,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium vitis-idaea,Vaccinium vitis-idaea L.,Vaccinium vitis-idaea,+,0,0,0,+,0,0,0,+,+,0,0,0,+,+,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veratrum lobelianum,Veratrum album L.,Veratrum lobelianum,0,0,0,0,+,0,+,0,0,0,0,0,0,0,0,+,0,0,1,0,0,0,+,0,+,+,+,+,0,+,0,0,0,0,1,0,0,0,0,0,+,0,0,0,0
Veronica longifolia,Veronica longifolia L.,Veronica longifolia,+,+,0,0,0,0,+,0,+,+,+,+,+,0,0,0,+,+,+,+,+,0,0,0,0,0,0,0,0,+,0,+,+,+,0,+,+,0,+,+,0,+,0,+,0
Vicia cracca,Vicia cracca L.,Vicia cracca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,+,0,0,+,+,+,+,0,+,+,0,0,+,0,+,0,0,0,0,0,0,0,0,0,0
Vicia sepium,Vicia sepium L.,Vicia sepium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,+,0,+,0,+,0,0,0,0,0,0,+,+,0,0,+,0,0,0,0,0,0,0
Viola biflora,Viola biflora L.,Viola biflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viola canina,Viola canina L.,Viola canina,0,0,+,+,0,0,+,+,0,0,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,+,+,0,0,0,0,+,0,0,0
Viola palustris [s. palustris],Viola palustris [s. palustris] L.,Viola palustris,+,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0
