,,AUTHOR PLOT NUMBER,ND_RV_01,ND_RV_02,ND_RV_03,ND_RV_04,ND_RV_05,ND_RV_06,ND_RV_07,ND_RV_08,ND_RV_09,ND_RV_10,ND_RV_11,ND_RV_12,ND_RV_13,ND_RV_14,LA_RV_15,LA_RV_16,LA_RV_17,LA_RV_18,LA_RV_19,LA_RV_20,LA_RV_21,LA_RV_22,LA_RV_23,LA_RV_24,VD_RV_25,VD_RV_26,VD_RV_27,VD_RV_28,VD_RV_29,VD_RV_30,VD_RV_31,VD_RV_32,VD_RV_33,VD_RV_34,VD_RV_35,VD_RV_36,VD_RV_37,VD_RV_38,VD_RV_39,KH_RV_40,KH_RV_41,KH_RV_42,KH_RV_43,KH_RV_44,KH_RV_45,KH_RV_46,KH_RV_47,KH_RV_48,KH_RV_49,BO_RV_49a,BO_RV_49b,BO_RV_50a,BO_RV_50b,BO_RV_51a,BO_RV_51b,BO_RV_52a,BO_RV_52b,BO_RV_53a,BO_RV_53b,BO_RV_54a,BO_RV_54b,BO_RV_55a,BO_RV_55b,BO_RV_56a,BO_RV_56b,BO_RV_57a,BO_RV_57b,BO_RV_58a,BO_RV_58b,KR_RV_60,KR_RV_61,KR_RV_62,KR_RV_63,KR_RV_64,KR_RV_65,KR_RV_66,KR_RV_67,KR_RV_68,KR_RV_69
Cetraria laevigata,30300,Cetraria laevigata Rass.,0,0,0,0,0,1,r,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0,+,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cetraria nigricans,30300,Cetraria nigricans Nyl.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cetrariella delisei,30300,Cetrariella delisei (Bory ex Schaer.) Kärnef.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2
Cetrariella fastigiata,30300,Cetrariella fastigiata (Bory ex Schaerer) Kärnefelt & Thell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,r,0,0,0,0,r,0,+,0,0,0,0,+,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamaedaphne calyculata,70201,Chamaedaphne calyculata (L.) Moench,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cirriphyllum cirrosum ,10200,Cirriphyllum cirrosum (Schwaegr.) Grout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,r,0,1
Cladonia amaurocraea,30300,Cladonia amaurocraea (Flörke) Schaer.,0,0,0,0,0,+,1,r,+,r,r,0,0,0,r,r,+,+,+,1,+,+,0,+,+,+,0,+,+,+,+,+,+,+,+,0,+,+,0,1,1,r,+,0,1,1,1,1,1,+,1,+,+,+,+,+,+,+,+,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia arbuscula s.l.,30300,Cladonia arbuscula s. lat. (Wallr.) Hale & W. Culb.,0,1,0,1,1,0,0,1,0,0,0,0,0,0,+,r,0,r,+,2,1,2,2,2,0,0,0,0,0,+,+,+,+,+,1,1,1,1,1,1,1,+,+,+,2,1,+,+,+,+,+,+,3,+,3,+,3,+,3,0,0,0,0,0,r,0,r,0,r,0,0,0,0,0,0,0,0,0,0
Cladonia bellidiflora,30300,Cladonia bellidiflora (Ach.) Schaer.,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,+,+,+,+,+,0,0,0,+,+,0,0,+,0,0,+,+,0,+,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,+,0,0,0,0,0,0,0,0,0,0
Cladonia cenotea,30300,Cladonia cenotea (Ach.) Schaerer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia chlorophaea,30300,Cladonia chlorophaea (Somm.) Spreng.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,+,0,0,+,+,0,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia coccifera,30300,Cladonia coccifera s. lat. (L.) Willd.,0,0,0,0,0,0,+,0,+,r,0,0,0,0,r,r,r,r,r,+,+,+,+,+,0,+,+,+,+,+,+,+,0,+,+,+,0,+,+,+,+,r,+,r,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,+,0,+,0,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0
Cladonia cornuta,30300,Cladonia cornuta (L.) Hoffm.,0,0,0,r,0,0,0,r,0,0,0,0,0,0,r,r,0,0,0,r,+,+,0,0,0,0,0,+,0,+,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia crispata,30300,Cladonia crispata s. lat. (Ach.) Flot.,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia cyanipes,30300,Cladonia cyanipes (Sommerf.) Nyl.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia cf. decorticata,30300,Cladonia decorticata (Flörke) Sprengel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia deformis,30300,Cladonia deformis (L.) Hoffm.,0,0,0,0,0,1,0,0,0,0,+,0,0,0,r,r,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia gracilis,30300,Cladonia gracilis s. lat. (L.) Willd.,r,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,r,1,+,+,0,+,+,+,+,0,+,+,+,+,+,+,+,+,+,+,0,+,+,+,1,1,1,1,+,1,1,+,+,0,+,+,+,+,+,+,1,+,+,0,+,0,+,0,+,0,+,0,0,0,0,0,0,0,0,0,0
Cladonia cf. grayi,30300,Cladonia grayi G. Merr. ex Sandst.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,+,0,0,0,0,0,0,0,+,0,0,0,0,+,+,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia macrophylla,30300,Cladonia macrophylla (Schaerer) Stenh.,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia pleurota,30300,Cladonia pleurota (Flörke) Schaer.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia pocillum,30300,Cladonia pocillum (Ach.) O. Rich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,1,+,+,1,1,+,+,1,1,2
Cladonia pyxidata,30300,Cladonia pyxidata (L.) Hoffm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,+,0,0,0,+,0,+,+,+,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,+,0,+,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,r
Cladonia rangiferina,30300,Cladonia rangiferina (L.) Nyl.,1,0,2,1,0,0,0,0,+,0,0,0,0,0,0,1,+,+,0,1,+,1,1,1,0,0,0,+,+,+,0,0,0,0,0,0,1,0,0,+,+,0,0,+,1,1,+,0,+,+,0,+,+,+,+,+,+,+,+,0,0,0,0,0,+,0,+,0,+,0,0,0,0,0,0,0,0,0,0
Cladonia cf. scabriuscula,30300,Cladonia scabriuscula (Delise in Duby) Nyl.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia squamosa,30300,Cladonia squamosa s. lat. Hoffm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,+,+,r,0,0,0,0,0,0,+,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia stellaris,30300,Cladonia stellaris (Opiz) Pouzar & Vezda,3,3,5,5,3,3,+,0,5,3,4,0,0,0,0,0,0,+,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia stricta,30300,Cladonia stricta s. lat. (Nyl.) Nyl.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,r,0,0,0,0,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia stygia,30300,Cladonia stygia (Fr.) Ruoss,0,1,1,0,1,2,2,2,2,3,2,0,0,0,+,+,+,r,r,2,1,1,1,1,0,0,0,0,+,+,+,+,+,+,1,1,0,1,1,+,+,+,0,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia subfurcata/furcata,30300,Cladonia subfurcata (Nyl.) Arn.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,r,r,+,+,+,+,+,+,+,+,+,0,+,+,0,0,+,+,+,0,+,+,0,0,0,0,+,r,+,r,r,0,0,+,0,+,0,+,0,+,0,+,0,0,+,+,0,0,0,+,0,r,0,0,0,0,0,0,0,0,0,0
Cladonia sulphurina,30300,Cladonia sulphurina (Nyl.) Arn.,0,0,0,0,0,0,0,0,r,0,+,0,0,0,r,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia symphycarpia,30300,Cladonia symphycarpia (Ach.) Fr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,0
Cladonia uncialis,30300,Cladonia uncialis (L.) Wigg.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,r,r,r,1,1,1,1,1,0,0,+,+,+,+,+,+,1,+,1,1,0,1,1,1,1,1,0,+,1,1,0,0,1,+,+,+,+,+,1,+,+,+,+,0,+,0,0,0,+,+,1,+,1,0,0,0,0,0,0,0,0,0,0
Cochlearia groenlandica,60200,Cochlearia groenlandica L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,+,+,+,1,+
Conostomum tetragonum,10100,Conostomum tetragonum (Hedw.) Lindb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,r,+,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,+,0,+,0,0,0,0,0,0,0,0,0,0,0
Cynodontium strumiferum,10100,Cynodontium strumiferum (Hedw.) Lindb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactylina arctica,30300,Dactylina arctica (Richardson) Nyl.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,r,r,0,r,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,+,+,+,+,0,+,+,0,+,0,0,0,+,0,+,0,+,0,0,0,0,0,0,0,0,0,0
Dactylina ramulosa,30300,Dactylina ramulosa (Hook.) Tuck.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,r,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deschampsia sukatschewii,50200,Deschampsia sukatschewii (Popl.) Roshev.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diapensia lapponica,60200,Diapensia lapponica L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicranella subulata,10100,Dicranella subulata (Hedw.) Schimp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicranum acutifolium,10100,Dicranum acutifolium (Lindb. & H. Arn.) C. Jens.,0,+,0,0,0,0,0,r,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,+,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,+,0,0,0,0,+,1,+,2,0,1,2,2,0,0,0,0,0,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0
Dicranum elongatum,10100,Dicranum elongatum Schleich. ex Schwaegr.,0,0,0,0,0,0,0,+,0,0,+,0,0,0,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,+,+,+,+,0,1,0,0,1,1,2,2,3,1,2,1,1,1,1,1,2,+,2,1,2,1,1,1,1,3,0,+,0,+,0,+,0,+,0,+,0,0,0,0,0,0,0,0,0,0
Dicranum fuscescens,10100,Dicranum fuscescens Turner,0,0,r,0,+,+,0,0,0,0,0,0,0,0,0,0,0,+,0,r,+,0,0,0,+,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicranum groenlandicum,10100,Dicranum groenlandicum Brid.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicranum majus,10100,Dicranum majus Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicranum laevidens,10100,Dicranum spadiceum J. E. Zetterst.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,+,2,0,0,0,0,0,2,1,1,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicranum spadiceum,10100,Dicranum spadiceum J. E. Zetterst.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,r,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,0,0,0,0,0,0,0,0,0,0
Dicranum sp.,10100,Dicranum species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diphasiastrum alpinum,40300,Diphasiastrum alpinum (L.) Holub,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distichium capillaceum,10100,Distichium capillaceum (Hedw.) Bruch & Schimp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,1,+,+,+,+,+,0,+,0,1
Ditrichum flexicaule,10100,Ditrichum flexicaule (Schwaegr.) Hampe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,+,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,+,2,r,0,0,0,1
Draba sp.,60200,Draba species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draba subcapitata,60200,Draba subcapitata Simmons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,r,0,0,0,0,0,0,+,+,+,+,+,+,0,r,+,+
Drosera rotundifolia,60200,Drosera rotundifolia L.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryas octopetala s.l.,70101,Dryas  octopetala L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,+,0,+,0,0,2,+,2,1,1,1,+,+,2,+,+,1,0,2,0,+,0,+,0,0,0,0,0,0,0,0,0,0,0,0
Empetrum nigrum,70101,Empetrum nigrum L.,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,+,1,1,1,2,0,0,0,+,0,0,0,1,0,0,0,0,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Encalypta alpina,10100,Encalypta alpina Sm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,+,+,0,0,+,0,+
Eriophorum scheuchzeri,50101,Eriophorum  scheuchzeri Hoppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,+,0,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriophorum angustifolium,50101,Eriophorum angustifolium Honck.,0,0,0,0,0,0,0,0,0,0,0,1,+,0,1,0,0,0,0,+,+,0,0,+,0,0,0,r,0,+,+,0,1,1,0,0,0,0,0,+,+,1,2,+,r,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriophorum russeolum,50101,Eriophorum russeolum Fr. ex Hartm.,0,0,0,0,0,0,0,0,0,0,0,1,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriophorum vaginatum,50102,Eriophorum vaginatum L.,0,0,0,0,0,+,0,0,0,0,0,0,0,0,2,+,1,+,1,+,+,+,+,+,0,+,+,+,0,0,0,0,1,1,0,0,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuca cf. ovina,50200,Festuca  ovina [subsp. ovina] L.,0,0,0,0,r,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,r,r,+,+,r,r,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavocetraria cucullata,30300,Flavocetraria cucullata (Bell.) Kärnefelt & Thell,0,0,0,0,0,1,+,1,0,0,0,0,0,0,+,+,+,+,+,1,2,1,1,1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,0,+,+,+,0,+,0,0,0,0,+,0,+,0,0,0,0,0,0,+,+,1,+,+,+,+,+,+,+
Flavocetraria nivalis,30300,Flavocetraria nivalis (L.) Kärnefelt & Thell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,+,+,0,r,+,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,+,1,+,0,0,0,0,0,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulgensia bracteata,30100,Fulgensia bracteata (Hoffm.)  Räsänen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,r,+,r,+,0,+,+,0
Gowardia arctica,30300,"Gowardia arctica P.Halonen, L. Myllys, S. Velmala & H.Hyvarinen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,+,+,+,0,r,0,0,0
Alectoria nigricans,30300,"Gowardia nigricans (Ach.) P. Halonen, L. Myllys, S. Velmala & H. Hyvärinen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,+,0,+,0,+,+,0,+,0,+,+,+,+,+,0,+,0,0,0,0,+,+,+,+,+,0,0,0,0,+,0,0,0,+,0,+,+,0,+,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0
