occurrenceID,institutionCode,collectionID,collectionCode,catalogNumber,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,dateIdentified,identifiedBy,typeStatus,continent,country,stateProvince,locality,decimalLatitude,decimalLongitude,coordinatePrecision,verbatimElevation,basisOfRecord,eventDate,year,month,day,habitat,fieldNumber,recordedBy,taxonRemarks
1114,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,Sere-Suu,41.354,72.57,,,HerbariumSpecimen,7/29/1911,1911,7,29,,1633,Z. von Minkwitz,
1115,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,"W part of Suusamyr Range, Uzun-Akmat",42.09,72.47,,,HerbariumSpecimen,28/07/1881,1881,7,28,,,A. Fetissov,
1116,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,Kyzyl-Beyit,41.514,72.402,,,HerbariumSpecimen,6/29/1978,1978,6,29,,,B. Sultanova,
1117,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,"left side of Uzun-Akmat River, Jangy-Jer",42.08,72.382,,,HerbariumSpecimen,6/29/1973,1973,6,29,sparse graminoids,,Aidarova et al.,
1118,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Talas Region,Talas Ala-Too: Besh-Tash,42.31,72.337,,,HerbariumSpecimen,7/31/1930,1930,7,31,,368,M.M. Iljin ,
1119,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,Terek-Say,42.11,72.315,,,HerbariumSpecimen,8/18/1966,1966,8,18,,,Barchev,
1120,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,Terek & Uzun-Akmat,42.125,72.31,,,HerbariumSpecimen,29/07/1881,1881,7,29,,,A. Fetissov,
1121,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Talas Region,"mouth of Besh-Tash River, left side",42.4,72.266,,,HerbariumSpecimen,7/28/1922,1922,7,28,,1787,E. Korovin ,
1122,FRU,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Osh Region,Ters-Agar,39.198,72.238,,,HerbariumSpecimen,7/31/2004,2004,7,31,,,G. Lazkov,
1123,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,"Isfayram-Say, mouth of Tengiz-Bay",39.755,72.197,,,HerbariumSpecimen,6/22/1931,1931,6,22,,150,S. Lipschitz,
