"observation_id","occurrence_id","name_submitted","family","genus","latitude","longitude","decimalLatitude","decimalLongitude","country","country_code","state_province","county_parish","municipality","country_raw","state_province_raw","county_raw","municipality_raw","political_units_raw","locality","verbatim_locality","locality_notes","island","island_group","water_body","date_collected","event_year","event_month","event_day","collector","catalog_number","record_number","basis_of_record","occurrence_status","establishment_means","verbatim_elevation","elevation_m","elevation_min_m","elevation_max_m","coordinate_uncertainty_m","geodetic_datum","georeference_remarks","habitat","occurrence_remarks","source_citation","source_url","source_file","source_sheet","original_row_number","taxon_scrub_status","tnrs_matched_name","gnrs_status","gvs_status","nsr_native_status"
"gosline_2023_626","19134","MaterialCitation",,,7.98,-9.1,7.98,-9.1,,"GN",,,,,,,,"countryCode=GN",,,,,,,"21/05/2011",,,11,"Jongkind, CCH","WAG8002283","10892","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",626,"UNRESOLVED",,,,
"gosline_2023_627","9778","MaterialCitation",,,9.34,-13.35,9.34,-13.35,,"GN",,,,,,,,"countryCode=GN",,,,,,,"10/11/2011",,,11,"Cheek, M","WTA","15916","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",627,"UNRESOLVED",,,,
"gosline_2023_628","24715","MaterialCitation",,,10.38,-9.3,10.38,-9.3,,"GN",,,,,,,,"countryCode=GN",,,,,,,"15/03/1899",,,99,"Chevalier, AJB","L.1755365","575","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",628,"UNRESOLVED",,,,
"gosline_2023_629","17301","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,"22/11/1961",,,61,"Portères, R","P00957617","195","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",629,"UNRESOLVED",,,,
"gosline_2023_630","3976","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,,,,,"Lisowski, S","Lisowski","obs.","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",630,"UNRESOLVED",,,,
"gosline_2023_631","24711","MaterialCitation",,,9.06,-8.95,9.06,-8.95,,"GN",,,,,,,,"countryCode=GN",,,,,,,"13/02/2012",,,12,"Jongkind, CCH","WAG.1487851","SIM 5","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",631,"UNRESOLVED",,,,
"gosline_2023_632","3344","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,,,,,"Lisowski, S","Lisowski","80937","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",632,"UNRESOLVED",,,,
"gosline_2023_633","19862","MaterialCitation",,,7.7,-8.41,7.7,-8.41,,"GN",,,,,,,,"countryCode=GN",,,,,,,"13/12/2007",,,7,"Jongkind, CCH","WAG0296630","8219","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",633,"UNRESOLVED",,,,
"gosline_2023_634","12272","MaterialCitation",,,11.29,-12.51,11.29,-12.51,,"GN",,,,,,,,"countryCode=GN",,,,,,,"23/10/2016",,,16,"Balde, A","K000743619","93","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",634,"UNRESOLVED",,,,
"gosline_2023_635","266","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,,,,,"Jacques-Félix, H","Lisowski","7001","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",635,"UNRESOLVED",,,,
"gosline_2023_636","15829","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,"10/11/1949",,,49,"Adam, J-G","P02143948","6950","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",636,"UNRESOLVED",,,,
"gosline_2023_637","8260","MaterialCitation",,,8.53,-8.9,8.53,-8.9,,"GN",,,,,,,,"countryCode=GN",,,,,,,"18/10/2008",,,8,"Darbyshire, I","K000615223","483","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",637,"UNRESOLVED",,,,
"gosline_2023_638","379","MaterialCitation",,,8.88,-10.37,8.88,-10.37,,"GN",,,,,,,,"countryCode=GN",,,,,,,"05/10/2017",,,17,"Haba, PM","K001381965","944","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",638,"UNRESOLVED",,,,
"gosline_2023_639","11332","MaterialCitation",,,10.14,-11.58,10.14,-11.58,,"GN",,,,,,,,"countryCode=GN",,,,,,,"26/04/2012",,,12,"Cheek, M","K000673715","16556","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",639,"UNRESOLVED",,,,
"gosline_2023_640","28042","MaterialCitation",,,8.16553,-8.7045,8.16553,-8.7045,,"GN",,,,,,,,"countryCode=GN",,,,,,,"22/08/2019",,,19,"Diabaté, M","MO:Tropicos:101264076","4843","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",640,"UNRESOLVED",,,,
"gosline_2023_641","4573","MaterialCitation",,,11.3,-12.31,11.3,-12.31,,"GN",,,,,,,,"countryCode=GN",,,,,,,"30/04/2017",,,17,"Balde, A","K001286856","210","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",641,"UNRESOLVED",,,,
"gosline_2023_642","7662","MaterialCitation",,,8.52,-8.93,8.52,-8.93,,"GN",,,,,,,,"countryCode=GN",,,,,,,"12/08/2008",,,8,"Simandou plots","WTA","46","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",642,"UNRESOLVED",,,,
"gosline_2023_643","14912","MaterialCitation",,,10.41,-9.26,10.41,-9.26,,"GN",,,,,,,,"countryCode=GN",,,,,,,"28/01/1967",,,67,"Lisowski, S","WAG.1704479","91682","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",643,"UNRESOLVED",,,,
"gosline_2023_644","24619","MaterialCitation",,,7.6,-8.47,7.6,-8.47,,"GN",,,,,,,,"countryCode=GN",,,,,,,"11/12/2007",,,7,"Jongkind, CCH","WAG0049894","8197","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",644,"UNRESOLVED",,,,
"gosline_2023_645","1519","MaterialCitation",,,7.44,-9.3,7.44,-9.3,,"GN",,,,,,,,"countryCode=GN",,,,,,,"29/04/2011",,,11,"Jongkind, CCH","WAG0407681","10466","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",645,"UNRESOLVED",,,,
"gosline_2023_646","6600","MaterialCitation",,,10.7,-14.54,10.7,-14.54,,"GN",,,,,,,,"countryCode=GN",,,,,,,"16/11/2007",,,7,"Camara, AA","K001393623","3","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",646,"UNRESOLVED",,,,
"gosline_2023_647","24393","MaterialCitation",,,10.45,-13,10.45,-13,,"GN",,,,,,,,"countryCode=GN",,,,,,,"01/11/1938",,,38,"Chillou, J","WAG.1931217","798","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",647,"UNRESOLVED",,,,
"gosline_2023_648","17964","MaterialCitation",,,7.68,-8.43,7.68,-8.43,,"GN",,,,,,,,"countryCode=GN",,,,,,,"30/10/2012",,,12,"Jongkind, CCH","WAG.1488111","11647","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",648,"UNRESOLVED",,,,
"gosline_2023_649","24060","MaterialCitation",,,7.71,-8.39,7.71,-8.39,,"GN",,,,,,,,"countryCode=GN",,,,,,,"20/11/2007",,,7,"Nimba Botanic Team","WAG.1929489","WH 76","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",649,"UNRESOLVED",,,,
"gosline_2023_650","19592","MaterialCitation",,,7.69,-8.39,7.69,-8.39,,"GN",,,,,,,,"countryCode=GN",,,,,,,"23/06/2007",,,7,"Jongkind, CCH","WAG.1929809","7826","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",650,"UNRESOLVED",,,,
"gosline_2023_651","19090","MaterialCitation",,,7.98,-9.12,7.98,-9.12,,"GN",,,,,,,,"countryCode=GN",,,,,,,"11/05/2011",,,11,"Jongkind, CCH","WAG.1929713","10753","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",651,"UNRESOLVED",,,,
"gosline_2023_652","21493","MaterialCitation",,,10.85,-12.17,10.85,-12.17,,"GN",,,,,,,,"countryCode=GN",,,,,,,"01/04/1905",,,5,"Chevalier, AJB","P00540130","13523","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",652,"UNRESOLVED",,,,
"gosline_2023_653","3071","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,,,,,"Lisowski, S","Lisowski","11225","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",653,"UNRESOLVED",,,,
"gosline_2023_654","24739","MaterialCitation",,,7.69,-8.36,7.69,-8.36,,"GN",,,,,,,,"countryCode=GN",,,,,,,"27/09/2011",,,11,"Jongkind, CCH","WAG0427799","11236","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",654,"UNRESOLVED",,,,
"gosline_2023_655","16362","MaterialCitation",,,7.71,-8.36,7.71,-8.36,,"GN",,,,,,,,"countryCode=GN",,,,,,,"11/10/2011",,,11,"Bilivogui, D","P00853449","100","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",655,"UNRESOLVED",,,,
"gosline_2023_656","15370","MaterialCitation",,,8.64,-9.71,8.64,-9.71,,"GN",,,,,,,,"countryCode=GN",,,,,,,"20/04/1956",,,56,"Adam, J-G","P00694699","12005","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",656,"UNRESOLVED",,,,
"gosline_2023_657","14349","MaterialCitation",,,7.62,-8.43,7.62,-8.43,,"GN",,,,,,,,"countryCode=GN",,,,,,,"17/07/2008",,,8,"Nimba Botanic Team","WAG.1660950","PD 1635","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",657,"UNRESOLVED",,,,
"gosline_2023_658","12553","MaterialCitation",,,10.08,-12.58,10.08,-12.58,,"GN",,,,,,,,"countryCode=GN",,,,,,,,,,,"Chevalier, AJB","WTA","12769","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",658,"UNRESOLVED",,,,
"gosline_2023_659","15403","MaterialCitation",,,8.71,-8.83,8.71,-8.83,,"GN",,,,,,,,"countryCode=GN",,,,,,,"28/02/1909",,,9,"Chevalier, AJB","P00459681","20857","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",659,"UNRESOLVED",,,,
"gosline_2023_660","24758","MaterialCitation",,,9.05,-8.94,9.05,-8.94,,"GN",,,,,,,,"countryCode=GN",,,,,,,"13/02/2012",,,12,"Jongkind, CCH","WAG.1660815","11252","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",660,"UNRESOLVED",,,,
"gosline_2023_661","12199","MaterialCitation",,,9.44,-13.07,9.44,-13.07,,"GN",,,,,,,,"countryCode=GN",,,,,,,"01/05/1950",,,50,"Schnell, RA","P05565134","5604","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",661,"UNRESOLVED",,,,
"gosline_2023_662","30373","MaterialCitation",,,10.3537,-9.363,10.3537,-9.363,,"GN",,,,,,,,"countryCode=GN",,,,,,,"12/06/1967",,,67,"Lisowski, S.","POZG-V-0049825","80724","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",662,"UNRESOLVED",,,,
"gosline_2023_663","23893","MaterialCitation",,,10.7,-12.26,10.7,-12.26,,"GN",,,,,,,,"countryCode=GN",,,,,,,"18/04/1907",,,7,"Chevalier, AJB","WAG.1446647","18145","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",663,"UNRESOLVED",,,,
"gosline_2023_664","24793","MaterialCitation",,,7.96,-9.12,7.96,-9.12,,"GN",,,,,,,,"countryCode=GN",,,,,,,"27/05/2011",,,11,"Yonon Botanic Team","WAG.1499460","177","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",664,"UNRESOLVED",,,,
"gosline_2023_665","3072","MaterialCitation",,,8.03,-9.09,8.03,-9.09,,"GN",,,,,,,,"countryCode=GN",,,,,,,"10/05/2011",,,11,"Jongkind, CCH","WAG.1002797","10699","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",665,"UNRESOLVED",,,,
"gosline_2023_666","2520","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,,,,,"Chevalier, AJB","Lisowski","15206","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",666,"UNRESOLVED",,,,
"gosline_2023_667","22390","MaterialCitation",,,10.65,-9.88,10.65,-9.88,,"GN",,,,,,,,"countryCode=GN",,,,,,,"01/10/1900",,,0,"Pobeguin, H","P02338536","562","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",667,"UNRESOLVED",,,,
"gosline_2023_668","14258","MaterialCitation",,,7.64,-8.37,7.64,-8.37,,"GN",,,,,,,,"countryCode=GN",,,,,,,"14/12/2007",,,7,"Nimba Botanic Team","WAG.1427997","JR 2213","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",668,"UNRESOLVED",,,,
"gosline_2023_669","24275","MaterialCitation",,,7.66,-8.34,7.66,-8.34,,"GN",,,,,,,,"countryCode=GN",,,,,,,"10/07/2008",,,8,"Nimba Botanic Team","WAG.1428020","WD 958","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",669,"UNRESOLVED",,,,
"gosline_2023_670","19138","MaterialCitation",,,7.98,-9.1,7.98,-9.1,,"GN",,,,,,,,"countryCode=GN",,,,,,,"21/05/2011",,,11,"Jongkind, CCH","WAG.1428055","10899","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",670,"UNRESOLVED",,,,
"gosline_2023_671","17799","MaterialCitation",,,7.64,-9.25,7.64,-9.25,,"GN",,,,,,,,"countryCode=GN",,,,,,,"01/05/2011",,,11,"Jongkind, CCH","WAG.1795660","10540","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",671,"UNRESOLVED",,,,
