"observation_id","occurrence_id","name_submitted","family","genus","latitude","longitude","decimalLatitude","decimalLongitude","country","country_code","state_province","county_parish","municipality","country_raw","state_province_raw","county_raw","municipality_raw","political_units_raw","locality","verbatim_locality","locality_notes","island","island_group","water_body","date_collected","event_year","event_month","event_day","collector","catalog_number","record_number","basis_of_record","occurrence_status","establishment_means","verbatim_elevation","elevation_m","elevation_min_m","elevation_max_m","coordinate_uncertainty_m","geodetic_datum","georeference_remarks","habitat","occurrence_remarks","source_citation","source_url","source_file","source_sheet","original_row_number","taxon_scrub_status","tnrs_matched_name","gnrs_status","gvs_status","nsr_native_status"
"dayneko_2023_12","Anc.sett.plant.012","Eragrostis minor Host","Poaceae","Eragrostis",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",12,"UNRESOLVED",,,,
"dayneko_2023_13","Anc.sett.plant.013","Festuca rupicola Heuff.","Poaceae","Festuca",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",13,"UNRESOLVED",,,,
"dayneko_2023_14","Anc.sett.plant.014","Hyacinthella leucophaea (K.Koch) Schur","Asparagaceae","Hyacinthella",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",14,"UNRESOLVED",,,,
"dayneko_2023_15","Anc.sett.plant.015","Melica transsilvanica Schur","Poaceae","Melica",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",15,"UNRESOLVED",,,,
"dayneko_2023_16","Anc.sett.plant.016","Ornithogalum kochii Parl.","Asparagaceae","Ornithogalum",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",16,"UNRESOLVED",,,,
"dayneko_2023_17","Anc.sett.plant.017","Phleum phleoides (L.) H.Karst.","Poaceae","Phleum",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",17,"UNRESOLVED",,,,
"dayneko_2023_18","Anc.sett.plant.018","Setaria viridis (L.) P.Beauv.","Poaceae","Setaria",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",18,"UNRESOLVED",,,,
"dayneko_2023_19","Anc.sett.plant.019","Acer negundo L.","Sapindaceae","Acer",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",19,"UNRESOLVED",,,,
"dayneko_2023_20","Anc.sett.plant.020","Achillea leptophylla M.Bieb.","Asteraceae","Achillea",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",20,"UNRESOLVED",,,,
"dayneko_2023_21","Anc.sett.plant.021","Achillea pannonica Scheele","Asteraceae","Achillea",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",21,"UNRESOLVED",,,,
