freq	dB(S(3,1))
6.00000000000000000E9	-3.28435953815252279E2
6.00004999999999988E9	-3.28461612361425148E2
6.00009999999999977E9	-3.28487120912408326E2
6.00014999999999965E9	-3.28512480638623439E2
6.00019999999999953E9	-3.28537692696333838E2
6.00024999999999942E9	-3.28562758227870955E2
6.00030000000000019E9	-3.28587678361858204E2
6.00035000000000096E9	-3.28612454213428418E2
6.00039999999999996E9	-3.28637086884438157E2
6.00044999999999895E9	-3.28661577463679544E2
6.00049999999999972E9	-3.28685927027083036E2
6.00055000000000049E9	-3.28710136637920902E2
6.00060000000000038E9	-3.28734207347007246E2
6.00064999999999937E9	-3.28758140192886028E2
6.00069999999999926E9	-3.28781936202029712E2
6.00075000000000092E9	-3.28805596389016097E2
6.00079999999999991E9	-3.28829121756720344E2
6.00085000000000068E9	-3.28852513296488747E2
6.00089999999999968E9	-3.28875771988316234E2
6.00095000000000045E9	-3.28898898801018280E2
6.00100000000000033E9	-3.28921894692404937E2
6.00105000000000022E9	-3.28944760609440312E2
6.00110000000000010E9	-3.28967497488409588E2
6.00114999999999998E9	-3.28990106255078008E2
6.00119999999999987E9	-3.29012587824848612E2
6.00125000000000064E9	-3.29034943102916211E2
6.00129999999999963E9	-3.29057172984416635E2
6.00135000000000041E9	-3.29079278354578886E2
6.00139999999999940E9	-3.29101260088867908E2
6.00145000000000017E9	-3.29123119053129765E2
6.00150000000000006E9	-3.29144856103728589E2
6.00154999999999994E9	-3.29166472087689854E2
6.00160000000000071E9	-3.29187967842831375E2
6.00164999999999971E9	-3.29209344197897291E2
6.00169999999999959E9	-3.29230601972689252E2
6.00174999999999947E9	-3.29251741978195600E2
6.00180000000000113E9	-3.29272765016715008E2
6.00185000000000013E9	-3.29293671881982153E2
6.00189999999999912E9	-3.29314463359287135E2
6.00194999999999901E9	-3.29335140225598622E2
6.00200000000000067E9	-3.29355703249674514E2
6.00205000000000055E9	-3.29376153192185672E2
6.00210000000000043E9	-3.29396490805820985E2
6.00214999999999854E9	-3.29416716835405321E2
6.00220000000000020E9	-3.29436832018002557E2
6.00225000000000009E9	-3.29456837083029219E2
6.00229999999999997E9	-3.29476732752353296E2
6.00234999999999985E9	-3.29496519740405924E2
6.00239999999999974E9	-3.29516198754274958E2
6.00245000000000051E9	-3.29535770493810798E2
6.00249999999999950E9	-3.29555235651723910E2
6.00255000000000027E9	-3.29574594913679064E2
6.00259999999999927E9	-3.29593848958395208E2
6.00265000000000004E9	-3.29612998457732909E2
6.00269999999999992E9	-3.29632044076792941E2
6.00274999999999981E9	-3.29650986474000840E2
6.00279999999999969E9	-3.29669826301200652E2
6.00285000000000046E9	-3.29688564203737977E2
6.00289999999999946E9	-3.29707200820551716E2
6.00295000000000023E9	-3.29725736784251700E2
6.00299999999999923E9	-3.29744172721207907E2
6.00305000000000000E9	-3.29762509251629021E2
6.00310000000000077E9	-3.29780746989644635E2
6.00314999999999976E9	-3.29798886543382341E2
6.00319999999999965E9	-3.29816928515047891E2
6.00325000000000042E9	-3.29834873501000780E2
6.00330000000000030E9	-3.29852722091830497E2
6.00335000000000019E9	-3.29870474872428909E2
6.00339999999999918E9	-3.29888132422065050E2
6.00344999999999995E9	-3.29905695314457148E2
6.00350000000000072E9	-3.29923164117841106E2
6.00354999999999972E9	-3.29940539395041421E2
6.00360000000000049E9	-3.29957821703542464E2
6.00365000000000038E9	-3.29975011595549361E2
6.00370000000000026E9	-3.29992109618061713E2
6.00375000000000014E9	-3.30009116312932616E2
6.00380000000000003E9	-3.30026032216937981E2
6.00384999999999991E9	-3.30042857861835603E2
6.00389999999999979E9	-3.30059593774429993E2
6.00394999999999968E9	-3.30076240476633709E2
6.00399999999999956E9	-3.30092798485526595E2
6.00404999999999944E9	-3.30109268313415516E2
6.00410000000000110E9	-3.30125650467893417E2
6.00415000000000010E9	-3.30141945451897900E2
6.00419999999999909E9	-3.30158153763763362E2
6.00424999999999986E9	-3.30174275897285252E2
6.00430000000000064E9	-3.30190312341765013E2
6.00435000000000052E9	-3.30206263582073367E2
6.00439999999999952E9	-3.30222130098697608E2
6.00444999999999940E9	-3.30237912367798270E2
6.00450000000000017E9	-3.30253610861257041E2
6.00455000000000005E9	-3.30269226046732189E2
6.00460000000000083E9	-3.30284758387704525E2
6.00464999999999982E9	-3.30300208343529444E2
6.00470000000000059E9	-3.30315576369486186E2
6.00474999999999959E9	-3.30330862916823964E2
6.00480000000000036E9	-3.30346068432811046E2
6.00485000000000024E9	-3.30361193360780225E2
6.00490000000000013E9	-3.30376238140175005E2
6.00495000000000001E9	-3.30391203206596629E2
6.00499999999999989E9	-3.30406088991846314E2
6.00504999999999978E9	-3.30420895923969926E2
6.00510000000000055E9	-3.30435624427302788E2
