"paper_id","doi","citation","source_url","source_file","source_sheet","original_row_number","occurrenceID","scientificName","scientificNameAuthorship","family","genus","basisOfRecord","occurrenceStatus","establishmentMeans","recordedBy","catalogNumber","recordNumber","locality","verbatimLocality","localityNotes","country","countryCode","stateProvince","county","municipality","island","islandGroup","waterBody","politicalUnitsRaw","decimalLatitude","decimalLongitude","verbatimLatitude","verbatimLongitude","coordinateUncertaintyInMeters","geodeticDatum","georeferenceRemarks","verbatimElevation","minimumElevationInMeters","maximumElevationInMeters","elevation","habitat","habit","eventDate","eventYear","eventMonth","eventDay","occurrenceRemarks","sourceProvenance"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",11,"12669","MaterialCitation",,,,"preservedspecimen",,,"Lisowski, S","Lisowski","obs.",,,,,"GN",,,,,,,"countryCode=GN",,,,,,,,,,,,,,,,,,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",12,"6564","MaterialCitation",,,,"preservedspecimen",,,"Couch, CA","K000023654","486",,,,,"GN",,,,,,,"countryCode=GN",10.72,-14.52,"10.72","-14.52",,,,,,,,,,"25/11/2007",,,7,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",13,"13306","MaterialCitation",,,,"preservedspecimen",,,"Lisowski, S","Lisowski","obs.",,,,,"GN",,,,,,,"countryCode=GN",,,,,,,,,,,,,,,,,,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",14,"6879","MaterialCitation",,,,"preservedspecimen",,,"Fofana, F","K000023655","51",,,,,"GN",,,,,,,"countryCode=GN",10.74,-14.55,"10.74","-14.55",,,,,,,,,,"21/11/2007",,,7,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",15,"19183","MaterialCitation",,,,"preservedspecimen",,,"Jongkind, CCH","WAG.1723257","11053",,,,,"GN",,,,,,,"countryCode=GN",8.53,-8.91,"8.53","-8.91",,,,,,,,,,"09/09/2011",,,11,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",16,"5198","MaterialCitation",,,,"preservedspecimen",,,"Tchiengue, B in P plot voucher series","WTA","149",,,,,"GN",,,,,,,"countryCode=GN",8.54,-8.89,"8.54","-8.89",,,,,,,,,,"04/11/2005",,,5,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",17,"17119","MaterialCitation",,,,"preservedspecimen",,,"Bidault, E","P01192461","2458",,,,,"GN",,,,,,,"countryCode=GN",10.33,-14.35,"10.33","-14.35",,,,,,,,,,"19/10/2016",,,16,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",18,"19822","MaterialCitation",,,,"preservedspecimen",,,"Jongkind, CCH","WAG.1723204","8127",,,,,"GN",,,,,,,"countryCode=GN",7.65,-8.42,"7.65","-8.42",,,,,,,,,,"29/11/2007",,,7,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",19,"19502","MaterialCitation",,,,"preservedspecimen",,,"Jongkind, CCH","WAG.1723113","7701",,,,,"GN",,,,,,,"countryCode=GN",7.65,-8.37,"7.65","-8.37",,,,,,,,,,"17/06/2007",,,7,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",20,"24073","MaterialCitation",,,,"preservedspecimen",,,"Nimba Botanic Team","WAG.1723030","WH 1400",,,,,"GN",,,,,,,"countryCode=GN",7.69,-8.39,"7.69","-8.39",,,,,,,,,,"01/12/2007",,,7,,"gosline_2023_gbif_dwca.zip#occurrence"
