"supplementary_id","supplementary_doi","label","media_href","declared_mimetype","declared_mime_subtype","original_file_url","content_type","content_disposition","paper_id","doi","landing_url","discovered_at_utc"
"S1","10.3897/phytokeys.273.184780.suppl1","Supplementary material 1","phytokeys-273-021_article-184780__-s001.xlsx","application","vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://binary.pensoft.net/file/1589237","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","attachment;filename=""oo_1589237.xlsx""","jennings_2026","10.3897/phytokeys.273.184780","https://phytokeys.pensoft.net/article/184780/","2026-04-29T05:00:51Z"
"S2","10.3897/phytokeys.273.184780.suppl2","Supplementary material 2","phytokeys-273-021_article-184780__-s002.jpg","image","jpeg","https://binary.pensoft.net/file/1589238","image/jpeg","attachment;filename=""oo_1589238.jpg""","jennings_2026","10.3897/phytokeys.273.184780","https://phytokeys.pensoft.net/article/184780/","2026-04-29T05:00:51Z"
"S3","10.3897/phytokeys.273.184780.suppl3","Supplementary material 3","phytokeys-273-021_article-184780__-s003.jpg","image","jpeg","https://binary.pensoft.net/file/1589239","image/jpeg","attachment;filename=""oo_1589239.jpg""","jennings_2026","10.3897/phytokeys.273.184780","https://phytokeys.pensoft.net/article/184780/","2026-04-29T05:00:51Z"
"S4","10.3897/phytokeys.273.184780.suppl4","Supplementary material 4","phytokeys-273-021_article-184780__-s004.xlsx","application","vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://binary.pensoft.net/file/1589240","application/octet-stream","attachment;filename=""oo_1589240.xlsx""","jennings_2026","10.3897/phytokeys.273.184780","https://phytokeys.pensoft.net/article/184780/","2026-04-29T05:00:51Z"
"S5","10.3897/phytokeys.273.184780.suppl5","Supplementary material 5","phytokeys-273-021_article-184780__-s005.xlsx","application","vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://binary.pensoft.net/file/1589241","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","attachment;filename=""oo_1589241.xlsx""","jennings_2026","10.3897/phytokeys.273.184780","https://phytokeys.pensoft.net/article/184780/","2026-04-29T05:00:51Z"
